Date,EqMktNtrl,SP500,Baa_over_10,10YrYld,VIX_chng,LIQ_chng
20201231,0.0178,0.0371214066594323,0.0218,0.0093,0.105979581915411,-0.03606298
20201130,-0.0057,0.107545658050863,0.0229,0.0084,-0.458968963703314,0.10542791
20201031,-0.0047,-0.0276657746060065,0.0261,0.0088,0.441789858104291,0.04011153
20200930,-0.0112,-0.0392279540954944,0.0275,0.0069,-0.0015145399469898,-0.09309913
20200831,-0.0007,0.0700646873242192,0.0267,0.0072,0.0797220392363875,-0.03720649
20200731,0.0434,0.0551012969754443,0.026,0.0055,-0.196188005257969,0.04988079
20200630,0.0189,0.0183884032835027,0.0293,0.0066,0.106143220647037,0.06172837
20200531,-0.0019,0.0452817750126184,0.0308,0.0065,-0.194436357573273,-0.10723287
20200430,0.0164,0.126844102933154,0.0323,0.0064,-0.362159107916341,0.25131545
20200331,-0.0312,-0.125119320835957,0.0393,0.007,0.3348292112982,-0.23273174
20200229,-0.0106,-0.0841104690096481,0.0238,0.0113,1.1289809447983,0.02415547
20200131,-0.0116,-0.00162808981112927,0.0213,0.0151,0.367198838896952,0.00595157
20191231,0.0151,0.0285898031824463,0.0198,0.0192,0.0919175911251982,0.03385447
20191130,-0.0057,0.0340470640909152,0.0208,0.0178,-0.0453857791225417,0.01764771
20191031,0.0013,0.0204317474821449,0.0218,0.0169,-0.185960591133005,-0.0202656
20190930,-0.0107,0.0171811676906568,0.022,0.0168,-0.14436248682824,-0.09616853
20190831,-0.0046,-0.0180916527422678,0.0226,0.015,0.177419281797812,-0.02375823
20190731,-0.0021,0.0131281953660394,0.0213,0.0202,0.0689655835543765,0.16071073
20190630,0.005,0.068930183208215,0.0231,0.02,-0.194013853234305,-0.06821064
20190531,0.0169,-0.0657777264811615,0.0237,0.0214,0.42606699695122,-0.04895855
20190430,-0.024,0.0393134349421393,0.0214,0.0251,-0.0430342815463167,0.03278549
20190331,0.009,0.0179242877510783,0.0226,0.0241,-0.0723951285520973,-0.04210753
20190228,0.0022,0.0297289301431161,0.0222,0.0273,-0.108026554013277,0.07089727
20190131,0.0141,0.0786844047310369,0.0238,0.0263,-0.348151062155783,0.03263355
20181231,0.0154,-0.0917769557672173,0.0245,0.0269,0.406751521859436,-0.08101463
20181130,-0.043,0.0178593817991402,0.0227,0.0301,-0.14884597268017,0.08272497
20181031,-0.0209,-0.0694033589798146,0.0203,0.0315,0.751650165016502,-0.02776026
20180930,-0.0037,0.00429430091813954,0.0184,0.0305,-0.057542768273717,-0.1294652
20180831,0.0014,0.0302632186316041,0.0192,0.0286,0.00233826968043638,0.11182159
20180731,0,0.0360215864654188,0.0183,0.0296,-0.20261031696706,-0.12358738
20180630,-0.0011,0.00484240020404614,0.0199,0.0285,0.0427738172391445,0.07624145
20180531,-0.0107,0.0216083533165914,0.0189,0.0283,-0.0313873195229127,0.10653562
20180430,0.0055,0.00271880100118538,0.0179,0.0295,-0.202303415238028,-0.11044415
20180331,0.0033,-0.0268845137683643,0.0185,0.0274,0.00604528967254403,0.02310885
20180228,-0.0163,-0.0389473796041518,0.0168,0.0287,0.46602658788774,0.05928949
20180131,0.0206,0.0561787246457037,0.0156,0.0272,0.226449275362319,-0.09023327
20171231,0.024,0.0098316198188535,0.0177,0.024,-0.0212765957446809,9.30800000000023e-05
20171130,-0.0044,0.0280826013684055,0.0188,0.0242,0.108055009823183,0.0108138
20171031,-0.0059,0.022188174774546,0.0191,0.0238,0.0704521556256572,-0.02166398
20170930,-0.0008,0.0193028948273422,0.02,0.0233,-0.101983002832861,0.00773261
20170831,0.0097,0.000546492328866943,0.0214,0.0212,0.0321637426900585,0.05907638
20170731,0.0347,0.0193487688835154,0.0206,0.023,-0.0822898032200358,-0.06057266
20170630,0.0048,0.00481383199270247,0.0209,0.0231,0.0739673390970221,-0.0392658
20170531,-0.0028,0.0115762100494927,0.0223,0.0221,-0.0378927911275416,0.10192117
20170430,0.0017,0.00909121690255299,0.0228,0.0229,-0.125303152789006,-0.01540793
20170331,0.0125,-0.000389230170415145,0.0224,0.024,-0.0425696594427245,0.07279811
20170228,-0.0112,0.0371982605414087,0.0219,0.0236,0.0775646371976646,-0.13634854
20170131,0.0201,0.0178843413747358,0.0223,0.0245,-0.146011396011396,0.06465295
20161231,-0.005,0.018200754044233,0.0228,0.0245,0.0532633158289573,0.07002931
20161130,-0.0189,0.0341744467699832,0.0245,0.0237,-0.218640047985935,-0.14056656
20161031,-0.0027,-0.0194256250374722,0.0261,0.0184,0.283671858540256,0.10520491
20160930,0.0062,-0.00123448259978343,0.0269,0.016,-0.0096870342771983,-0.04826474
20160831,0.001,-0.00121917556128082,0.0261,0.0158,0.130581297388374,-0.0146877
20160731,0.0086,0.0356098072286859,0.0271,0.0146,-0.240563019833653,0.04462745
20160630,-0.0253,0.000906073554097331,0.0292,0.0149,0.101479915433404,0.0209686
20160531,0.0021,0.0153294920834746,0.0284,0.0184,-0.0961783439490446,-0.11277999
20160430,-0.0087,0.00269936982337593,0.0286,0.0183,0.125448028673835,0.0906225
20160331,0.0156,0.0659911087189411,0.0312,0.0178,-0.321167850178484,-0.02480442
20160229,-0.0073,-0.00412835525501998,0.0355,0.0174,0.0173266328056123,0.04904285
20160131,-0.0117,-0.0507353444817362,0.0348,0.0194,0.10928073087758,-0.03518805
20151231,0.016,-0.0175301983743588,0.0323,0.0227,0.128952270858789,0.05964211
20151130,-0.0103,0.000504963065558472,0.032,0.0221,0.0703383543463836,-0.07837186
20151031,-0.0059,0.0829830783894003,0.0319,0.0216,-0.384897959183673,0.11448219
20150930,0.0062,-0.0264428196209271,0.0329,0.0206,-0.138234259584946,-0.13156964
20150831,0.0095,-0.0625808046239258,0.0315,0.0221,1.3457095709571,0.0028542
20150731,0.0056,0.0197420399300086,0.0294,0.022,-0.335161821173889,0.02191785
20150630,0.0155,-0.0210117728564716,0.0283,0.0235,0.317196531791908,-0.02173345
20150531,0.01,0.0104914385450081,0.0272,0.0212,-0.0487972508591066,0.02509251
20150430,-0.0044,0.00852076270981539,0.026,0.0205,-0.0483976455199476,0.03888548
20150331,-0.0021,-0.0173960560703256,0.0255,0.0194,0.146176911544228,-0.0272278
20150228,-0.019,0.0548925057268457,0.0246,0.02,-0.363853093173729,-0.01466311
20150131,-0.0037,-0.0310408470542524,0.0261,0.0168,0.0921873910319069,-0.03487069
20141231,-0.0069,-0.00418851206252779,0.0251,0.0217,0.44036016504126,0.0725087
20141130,0.0057,0.024533584400783,0.0252,0.0218,-0.0498930862437633,-0.07323957
20141031,0.0045,0.0232014561753089,0.0239,0.0235,-0.139791486191998,0.04806172
20140930,-0.0028,-0.0155138591473367,0.0229,0.0252,0.349048717948718,-0.00981199
20140831,-0.0002,0.0376553217276903,0.0223,0.0235,-0.286725705797893,-0.02677235
20140731,-0.007,-0.0150798630772919,0.0217,0.0258,0.464995764909248,-0.0159873
20140630,0.007,0.0190583134484319,0.0218,0.0253,0.0149122807017543,0.11078087
20140531,-0.0027,0.0210302821200137,0.0222,0.0248,-0.149888143176734,-0.06438534
20140430,-0.007,0.00620079686381758,0.0216,0.0267,-0.0338616714697407,-0.00306632
20140331,-0.0059,0.0069321573583585,0.0226,0.0273,-0.00857142857142856,-0.0330704
20140228,0.0026,0.0431170375689307,0.0235,0.0266,-0.239543726235741,0.03931093
20140131,0.0008,-0.0355828951070137,0.024,0.0267,0.341836734693878,-0.03976288
